date,component,value
2015-01-01,trends_us,8.0
2015-01-02,trends_us,8.0
2015-01-03,trends_us,12.0
2015-01-04,trends_us,7.0
2015-01-05,trends_us,15.0
2015-01-06,trends_us,18.0
2015-01-07,trends_us,17.0
2015-01-08,trends_us,15.0
2015-01-09,trends_us,14.0
2015-01-10,trends_us,7.0
2015-01-11,trends_us,8.0
2015-01-12,trends_us,16.0
2015-01-13,trends_us,18.0
2015-01-14,trends_us,19.0
2015-01-15,trends_us,17.0
2015-01-16,trends_us,16.0
2015-01-17,trends_us,7.0
2015-01-18,trends_us,5.0
2015-01-19,trends_us,10.0
2015-01-20,trends_us,21.0
2015-01-21,trends_us,17.0
2015-01-22,trends_us,17.0
2015-01-23,trends_us,14.0
2015-01-24,trends_us,7.0
2015-01-25,trends_us,6.0
2015-01-26,trends_us,12.0
2015-01-27,trends_us,14.0
2015-01-28,trends_us,17.0
2015-01-29,trends_us,17.0
2015-01-30,trends_us,16.0
2015-01-31,trends_us,4.0
2015-02-01,trends_us,7.0
2015-02-02,trends_us,13.0
2015-02-03,trends_us,14.0
2015-02-04,trends_us,11.0
2015-02-05,trends_us,15.0
2015-02-06,trends_us,14.0
2015-02-07,trends_us,7.0
2015-02-08,trends_us,8.0
2015-02-09,trends_us,15.0
2015-02-10,trends_us,16.0
2015-02-11,trends_us,17.0
2015-02-12,trends_us,16.0
2015-02-13,trends_us,18.0
2015-02-14,trends_us,12.0
2015-02-15,trends_us,11.0
2015-02-16,trends_us,12.0
2015-02-17,trends_us,16.0
2015-02-18,trends_us,16.0
2015-02-19,trends_us,16.0
2015-02-20,trends_us,14.0
2015-02-21,trends_us,7.0
2015-02-22,trends_us,10.0
2015-02-23,trends_us,17.0
2015-02-24,trends_us,17.0
2015-02-25,trends_us,15.0
2015-02-26,trends_us,15.0
2015-02-27,trends_us,16.0
2015-02-28,trends_us,7.0
2015-03-01,trends_us,11.0
2015-03-02,trends_us,20.0
2015-03-03,trends_us,21.0
2015-03-04,trends_us,17.0
2015-03-05,trends_us,16.0
2015-03-06,trends_us,12.0
2015-03-07,trends_us,7.0
2015-03-08,trends_us,9.0
2015-03-09,trends_us,18.0
2015-03-10,trends_us,17.0
2015-03-11,trends_us,17.0
2015-03-12,trends_us,18.0
2015-03-13,trends_us,17.0
2015-03-14,trends_us,7.0
2015-03-15,trends_us,8.0
2015-03-16,trends_us,15.0
2015-03-17,trends_us,16.0
2015-03-18,trends_us,19.0
2015-03-19,trends_us,26.0
2015-03-20,trends_us,19.0
2015-03-21,trends_us,6.0
2015-03-22,trends_us,7.0
2015-03-23,trends_us,19.0
2015-03-24,trends_us,17.0
2015-03-25,trends_us,18.0
2015-03-26,trends_us,20.0
2015-03-27,trends_us,18.0
2015-03-28,trends_us,13.0
2015-03-29,trends_us,13.0
2015-03-30,trends_us,18.0
2015-03-31,trends_us,15.0
2015-04-01,trends_us,19.0
2015-04-02,trends_us,16.0
2015-04-03,trends_us,9.0
2015-04-04,trends_us,8.0
2015-04-05,trends_us,10.0
2015-04-06,trends_us,20.0
2015-04-07,trends_us,18.0
2015-04-08,trends_us,31.0
2015-04-09,trends_us,26.0
2015-04-10,trends_us,33.0
2015-04-11,trends_us,33.0
2015-04-12,trends_us,26.0
2015-04-13,trends_us,34.0
2015-04-14,trends_us,37.0
2015-04-15,trends_us,40.0
2015-04-16,trends_us,33.0
2015-04-17,trends_us,25.0
2015-04-18,trends_us,15.0
2015-04-19,trends_us,16.0
2015-04-20,trends_us,36.0
2015-04-21,trends_us,41.0
2015-04-22,trends_us,41.0
2015-04-23,trends_us,36.0
2015-04-24,trends_us,31.0
2015-04-25,trends_us,15.0
2015-04-26,trends_us,24.0
2015-04-27,trends_us,53.0
2015-04-28,trends_us,100.0
2015-04-29,trends_us,81.0
2015-04-30,trends_us,69.0
2015-05-01,trends_us,62.0
2015-05-02,trends_us,42.0
2015-05-03,trends_us,25.0
2015-05-04,trends_us,53.0
2015-05-05,trends_us,45.0
2015-05-06,trends_us,46.0
2015-05-07,trends_us,35.0
2015-05-08,trends_us,37.0
2015-05-09,trends_us,15.0
2015-05-10,trends_us,15.0
