run_utc,run_id,kind,source_id,target,status,detail
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S1,C01_ems_source_rows,absent,artifact nan does not exist
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S10,C02_registry_rows,verified,"computed 13,241; document agrees"
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S11,C03_wiki_start,verified,computed 2015-07-01; document agrees
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S16,C04_basket_articles,verified,computed 121; document agrees
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S16,C05_basket_people,verified,computed 111; document agrees
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S16,C06_basket_after_2020,verified,computed 24; document agrees
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S11,C07_scored_days,verified,"computed 3,472; document agrees"
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S11,C08_cai_ref_mean,mismatch,"computed 0.000000, but the document does not say 'mean `0.000000`' (the surrounding wording is present, so the number differs)"
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S11,C09_cai_ref_sd,verified,computed 1.000000; document agrees
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S1,C10_panel_rows,verified,"computed 89,857; document agrees"
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S1,C11_panel_districts,verified,computed 59; document agrees
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S1,C12_mean_edp_share,verified,computed 0.0856; document agrees
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S1,C13_mean_total_calls,verified,computed 65.9; document agrees
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S12,C14_trends_nyc_zero_all,mismatch,computed 42.6%; the claim's wording is not in docs/PAPER_MASTER.md at all - the register is stale
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S12,C15_trends_nyc_zero_2020,mismatch,"computed 26%, but the document does not say 'from 26% censored in' (the surrounding wording is present, so the number differs)"
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S12,C16_trends_nyc_zero_2024,mismatch,"computed 71%, but the document does not say '2020 to 71% in 2024' (the surrounding wording is present, so the number differs)"
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S17,C17_rename_views_recovered,mismatch,"computed 79,082,746; the claim's wording is not in docs/PAPER_MASTER.md at all - the register is stale"
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S17,C18_rename_articles,mismatch,computed 106; the claim's wording is not in docs/PAPER_MASTER.md at all - the register is stale
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S17,C19_rename_articles_total,mismatch,"computed 127, but the document does not say 'of 127 articles**' (the surrounding wording is present, so the number differs)"
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S11,C20_episodes_frozen,verified,computed 70; document agrees
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S11,C21_episodes_rebuilt,mismatch,computed 72; the claim's wording is not in docs/PAPER_MASTER.md at all - the register is stale
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S11,C22_episode_max_days,mismatch,computed 15; the claim's wording is not in docs/PAPER_MASTER.md at all - the register is stale
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S11,C23_basket_usable,mismatch,computed 119; the claim's wording is not in docs/PAPER_MASTER.md at all - the register is stale
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S15,C24_bheard_precincts,verified,computed 31; document agrees
2026-09-10T23:41:40+00:00,a78bbbd2,claim,S15,C25_bheard_low_conf,mismatch,computed 17; the claim's wording is not in docs/PAPER_MASTER.md at all - the register is stale
2026-09-10T23:42:33+00:00,316ef3c5,claim,S1,C01_ems_source_rows,failed,expression raised NameError: name 'pd' is not defined
2026-09-10T23:42:33+00:00,316ef3c5,claim,S10,C02_registry_rows,verified,"computed 13,241; document agrees"
2026-09-10T23:42:33+00:00,316ef3c5,claim,S11,C03_wiki_start,verified,computed 2015-07-01; document agrees
