date,component,value
2017-01-01,gdelt_news,0.1178
2017-01-02,gdelt_news,0.08
2017-01-03,gdelt_news,0.0768
2017-01-04,gdelt_news,0.0913
2017-01-05,gdelt_news,0.0663
2017-01-06,gdelt_news,0.042
2017-01-07,gdelt_news,0.0446
2017-01-08,gdelt_news,0.0485
2017-01-09,gdelt_news,0.0411
2017-01-10,gdelt_news,0.0452
2017-01-11,gdelt_news,0.0884
2017-01-12,gdelt_news,0.0606
2017-01-13,gdelt_news,0.0798
2017-01-14,gdelt_news,0.094
2017-01-15,gdelt_news,0.0649
2017-01-16,gdelt_news,0.097
2017-01-17,gdelt_news,0.0745
2017-01-18,gdelt_news,0.049
2017-01-19,gdelt_news,0.0554
2017-01-20,gdelt_news,0.0696
2017-01-21,gdelt_news,0.271
2017-01-22,gdelt_news,0.0871
2017-01-23,gdelt_news,0.04
2017-01-24,gdelt_news,0.0407
2017-01-25,gdelt_news,0.0443
2017-01-26,gdelt_news,0.0427
2017-01-27,gdelt_news,0.0836
2017-01-28,gdelt_news,0.0465
2017-01-29,gdelt_news,0.0228
2017-01-30,gdelt_news,0.0371
2017-01-31,gdelt_news,0.0751
2017-02-01,gdelt_news,0.0462
2017-02-02,gdelt_news,0.0526
2017-02-03,gdelt_news,0.0359
2017-02-04,gdelt_news,0.0393
2017-02-05,gdelt_news,0.0161
2017-02-06,gdelt_news,0.0462
2017-02-07,gdelt_news,0.0403
2017-02-08,gdelt_news,0.0452
2017-02-09,gdelt_news,0.0366
2017-02-10,gdelt_news,0.0263
2017-02-11,gdelt_news,0.0411
2017-02-12,gdelt_news,0.0415
2017-02-13,gdelt_news,0.0618
2017-02-14,gdelt_news,0.0392
2017-02-15,gdelt_news,0.0326
2017-02-16,gdelt_news,0.0376
2017-02-17,gdelt_news,0.0463
2017-02-18,gdelt_news,0.0311
2017-02-19,gdelt_news,0.0256
2017-02-20,gdelt_news,0.0446
2017-02-21,gdelt_news,0.0343
2017-02-22,gdelt_news,0.0665
2017-02-23,gdelt_news,0.0311
2017-02-24,gdelt_news,0.0404
2017-02-25,gdelt_news,0.0541
2017-02-26,gdelt_news,0.041
2017-02-27,gdelt_news,0.1728
2017-02-28,gdelt_news,0.0359
2017-03-01,gdelt_news,0.0449
2017-03-02,gdelt_news,0.0462
2017-03-03,gdelt_news,0.0664
2017-03-04,gdelt_news,0.0449
2017-03-05,gdelt_news,0.0422
2017-03-06,gdelt_news,0.0131
2017-03-07,gdelt_news,0.0152
2017-03-08,gdelt_news,0.0301
2017-03-09,gdelt_news,0.0246
2017-03-10,gdelt_news,0.059
2017-03-11,gdelt_news,0.064
2017-03-12,gdelt_news,0.0404
2017-03-13,gdelt_news,0.0705
2017-03-14,gdelt_news,0.0387
2017-03-15,gdelt_news,0.0344
2017-03-16,gdelt_news,0.0437
2017-03-17,gdelt_news,0.0542
2017-03-18,gdelt_news,0.1083
2017-03-19,gdelt_news,0.1203
2017-03-20,gdelt_news,0.0348
2017-03-21,gdelt_news,0.044
2017-03-22,gdelt_news,0.0687
2017-03-23,gdelt_news,0.2862
2017-03-24,gdelt_news,0.1008
2017-03-25,gdelt_news,0.0465
2017-03-26,gdelt_news,0.0279
2017-03-27,gdelt_news,0.0323
2017-03-28,gdelt_news,0.1212
2017-03-29,gdelt_news,0.0885
2017-03-30,gdelt_news,0.051
2017-03-31,gdelt_news,0.0267
2017-04-01,gdelt_news,0.0193
2017-04-02,gdelt_news,0.0215
2017-04-03,gdelt_news,0.0356
2017-04-04,gdelt_news,0.0406
2017-04-05,gdelt_news,0.1274
2017-04-06,gdelt_news,0.0773
2017-04-07,gdelt_news,0.1199
2017-04-08,gdelt_news,0.0517
2017-04-09,gdelt_news,0.0606
2017-04-10,gdelt_news,0.0513
2017-04-11,gdelt_news,0.0261
2017-04-12,gdelt_news,0.0522
2017-04-13,gdelt_news,0.0857
2017-04-14,gdelt_news,0.0356
2017-04-15,gdelt_news,0.0493
2017-04-16,gdelt_news,0.0411
2017-04-17,gdelt_news,0.0432
2017-04-18,gdelt_news,0.0436
2017-04-19,gdelt_news,0.058
2017-04-20,gdelt_news,0.0526
2017-04-21,gdelt_news,0.0886
2017-04-22,gdelt_news,0.0339
2017-04-23,gdelt_news,0.0219
2017-04-24,gdelt_news,0.0355
2017-04-25,gdelt_news,0.0507
2017-04-26,gdelt_news,0.0854
2017-04-27,gdelt_news,0.1008
2017-04-28,gdelt_news,0.0551
2017-04-29,gdelt_news,0.0416
2017-04-30,gdelt_news,0.0229
2017-05-01,gdelt_news,0.1523
2017-05-02,gdelt_news,0.1779
2017-05-03,gdelt_news,0.2875
2017-05-04,gdelt_news,0.1755
2017-05-05,gdelt_news,0.0452
2017-05-06,gdelt_news,0.0553
2017-05-07,gdelt_news,0.0636
2017-05-08,gdelt_news,0.0526
2017-05-09,gdelt_news,0.0456
2017-05-10,gdelt_news,0.0526
2017-05-11,gdelt_news,0.0457
2017-05-12,gdelt_news,0.0656
2017-05-13,gdelt_news,0.0458
2017-05-14,gdelt_news,0.024
2017-05-15,gdelt_news,0.0742
2017-05-16,gdelt_news,0.0295
2017-05-17,gdelt_news,0.0437
2017-05-18,gdelt_news,0.0416
2017-05-19,gdelt_news,0.0305
2017-05-20,gdelt_news,0.0387
2017-05-21,gdelt_news,0.0169
2017-05-22,gdelt_news,0.0398
2017-05-23,gdelt_news,0.0423
2017-05-24,gdelt_news,0.0244
2017-05-25,gdelt_news,0.0322
2017-05-26,gdelt_news,0.0535
2017-05-27,gdelt_news,0.0296
2017-05-28,gdelt_news,0.0615
2017-05-29,gdelt_news,0.0809
2017-05-30,gdelt_news,0.0366
2017-05-31,gdelt_news,0.0641
2017-06-01,gdelt_news,0.0462
2017-06-02,gdelt_news,0.0843
2017-06-03,gdelt_news,0.0266
2017-06-04,gdelt_news,0.2858
2017-06-05,gdelt_news,0.1441
2017-06-06,gdelt_news,0.0611
2017-06-07,gdelt_news,0.0313
2017-06-08,gdelt_news,0.0516
2017-06-09,gdelt_news,0.0251
2017-06-10,gdelt_news,0.0532
2017-06-11,gdelt_news,0.0648
2017-06-12,gdelt_news,0.1548
2017-06-13,gdelt_news,0.0728
2017-06-14,gdelt_news,0.0719
2017-06-15,gdelt_news,0.1388
2017-06-16,gdelt_news,0.1181
2017-06-17,gdelt_news,0.2207
2017-06-18,gdelt_news,0.0927
2017-06-19,gdelt_news,0.3266
2017-06-20,gdelt_news,0.1246
2017-06-21,gdelt_news,0.094
2017-06-22,gdelt_news,0.0941
2017-06-23,gdelt_news,0.0871
2017-06-24,gdelt_news,0.1656
2017-06-25,gdelt_news,0.0642
2017-06-26,gdelt_news,0.0998
2017-06-27,gdelt_news,0.0521
2017-06-28,gdelt_news,0.0807
2017-06-29,gdelt_news,0.0528
2017-06-30,gdelt_news,0.063
2017-07-01,gdelt_news,0.0613
2017-07-02,gdelt_news,0.0839
2017-07-03,gdelt_news,0.085
2017-07-04,gdelt_news,0.0407
2017-07-05,gdelt_news,0.1813
2017-07-06,gdelt_news,0.0981
2017-07-07,gdelt_news,0.0985
2017-07-08,gdelt_news,0.0889
2017-07-09,gdelt_news,0.0632
2017-07-10,gdelt_news,0.034
2017-07-11,gdelt_news,0.0544
2017-07-12,gdelt_news,0.0386
2017-07-13,gdelt_news,0.0773
2017-07-14,gdelt_news,0.052
2017-07-15,gdelt_news,0.0933
2017-07-16,gdelt_news,0.0422
2017-07-17,gdelt_news,0.1674
2017-07-18,gdelt_news,0.2546
2017-07-19,gdelt_news,0.1887
2017-07-20,gdelt_news,0.119
2017-07-21,gdelt_news,0.0809
2017-07-22,gdelt_news,0.306
2017-07-23,gdelt_news,0.1341
2017-07-24,gdelt_news,0.0571
2017-07-25,gdelt_news,0.0562
2017-07-26,gdelt_news,0.1146
2017-07-27,gdelt_news,0.0997
2017-07-28,gdelt_news,0.0839
2017-07-29,gdelt_news,0.0915
2017-07-30,gdelt_news,0.0798
2017-07-31,gdelt_news,0.056
2017-08-01,gdelt_news,0.1217
2017-08-02,gdelt_news,0.0711
2017-08-03,gdelt_news,0.0705
2017-08-04,gdelt_news,0.0625
2017-08-05,gdelt_news,0.0675
2017-08-06,gdelt_news,0.0786
2017-08-07,gdelt_news,0.046
2017-08-08,gdelt_news,0.0307
2017-08-09,gdelt_news,0.1
2017-08-10,gdelt_news,0.0703
2017-08-11,gdelt_news,0.0532
2017-08-12,gdelt_news,0.1111
2017-08-13,gdelt_news,0.0536
2017-08-14,gdelt_news,0.0382
2017-08-15,gdelt_news,0.0669
2017-08-16,gdelt_news,0.082
2017-08-17,gdelt_news,0.0824
2017-08-18,gdelt_news,0.1499
2017-08-19,gdelt_news,0.1248
2017-08-20,gdelt_news,0.2831
2017-08-21,gdelt_news,0.0703
2017-08-22,gdelt_news,0.0425
2017-08-23,gdelt_news,0.084
2017-08-24,gdelt_news,0.2808
2017-08-25,gdelt_news,0.0757
2017-08-26,gdelt_news,0.0564
2017-08-27,gdelt_news,0.0305
2017-08-28,gdelt_news,0.109
2017-08-29,gdelt_news,0.0506
2017-08-30,gdelt_news,0.0318
2017-08-31,gdelt_news,0.0436
2017-09-01,gdelt_news,0.0336
2017-09-02,gdelt_news,0.0428
2017-09-03,gdelt_news,0.0301
2017-09-04,gdelt_news,0.0309
2017-09-05,gdelt_news,0.0589
2017-09-06,gdelt_news,0.0439
2017-09-07,gdelt_news,0.0482
2017-09-08,gdelt_news,0.0475
2017-09-09,gdelt_news,0.0412
2017-09-10,gdelt_news,0.0559
2017-09-11,gdelt_news,0.0885
2017-09-12,gdelt_news,0.0569
2017-09-13,gdelt_news,0.0878
2017-09-14,gdelt_news,0.0615
2017-09-15,gdelt_news,0.1372
2017-09-16,gdelt_news,0.2526
2017-09-17,gdelt_news,0.0676
2017-09-18,gdelt_news,0.1075
2017-09-19,gdelt_news,0.225
2017-09-20,gdelt_news,0.076
2017-09-21,gdelt_news,0.0734
2017-09-22,gdelt_news,0.059
2017-09-23,gdelt_news,0.0877
2017-09-24,gdelt_news,0.2041
2017-09-25,gdelt_news,0.2208
2017-09-26,gdelt_news,0.24
2017-09-27,gdelt_news,0.2004
2017-09-28,gdelt_news,0.1369
2017-09-29,gdelt_news,0.1392
2017-09-30,gdelt_news,0.1438
2017-10-01,gdelt_news,0.273
2017-10-02,gdelt_news,0.2599
2017-10-03,gdelt_news,0.0844
2017-10-04,gdelt_news,0.074
2017-10-05,gdelt_news,0.0828
2017-10-06,gdelt_news,0.048
2017-10-07,gdelt_news,0.0772
2017-10-08,gdelt_news,0.1243
2017-10-09,gdelt_news,0.0898
2017-10-10,gdelt_news,0.1223
2017-10-11,gdelt_news,0.123
2017-10-12,gdelt_news,0.0914
2017-10-13,gdelt_news,0.0768
2017-10-14,gdelt_news,0.077
2017-10-15,gdelt_news,0.0769
2017-10-16,gdelt_news,0.1001
2017-10-17,gdelt_news,0.0705
2017-10-18,gdelt_news,0.0658
2017-10-19,gdelt_news,0.0541
2017-10-20,gdelt_news,0.068
